,description,workflow_manager,sample_qc,fastq_qc,alignment,bam_qc,variant_calling,variant_annotation,variant_filtering,variant_qc,verification,reporting
desc_1,This is the primary next-generation sequencing analytical pipeline for QIMR Berghofer and most other pipelines are based directly upon it or borrow heavily in terms of tools and workflows.,wdl executed by Cromwell,"snp array + qpure version 1.1, qsignature version 0.1",qprofiler,"bwa-mem, duplicates - picard markduplicates version & samblaster version","qprofiler, qcoverage","SNV - GATK HaplotypeCaller + qSNP, indels - GATK HaplotypeCaller version + q3indel",snpEFF version,As part of snpEFF,manual verification,Illumina SNP array for sample verification,?
desc_2,This describes the core research pipeline of the seqliner framework. Inputs paired tumour-normal samples with multiple lanes sequenced per individual.,Bpipe version X - groovy with in-house extensions for audit/file management,SNP signature of tumour vs normal and samples compared (separate pipeline),"cutadapt v1.5, FastQC v0.11.2",bwa-mem v0.7.10-r789 + local realignment (GATK RealignerTargetCreator + IndelRealign) + BQSR (GATK Base Recalibrator + GATK PrintReads) + Picard MarkDuplicates v1.119,bedtools -- coverageBed v2.25.0 + GATK Depthofcoverage v3.6,"SNV & indel - vardict v1.4.6, SNV - GATK Mutect2 v3.6, varscan v2.3.7, GATK Haplotypecaller v3.6","VEP version 78 with plugins: condel, exac, eva","in-house scripts applying strict filtering rules for low-quality reads, discard low quality reads and germline calls",?,Manual checks during curation (PathOS),Performance summary report generate
desc_3,This describes a workflow from the clinical arm of seqliner.,Bpipe - groovy with in-house extensions for audit/file management,SNP signature of tumour vs normal and samples compared (separate pipeline),"cutadapt v1.5, FastQC v0.11.2",bwa-mem v0.7.10-r789 + local realignment (GATK RealignerTargetCreator + IndelRealign) + BQSR (GATK Base Recalibrator + GATK PrintReads) + Picard MarkDuplicates v1.119,bedtools -- coverageBed v2.25.0 + GATK Depthofcoverage v3.6,"SNV & indel - GATK Mutect1 v (SNV), Indelocator2, varscan v, GATK Haplotypecaller v3.6","VEP version 78 with plugins: condel, exac, eva",in-house scripts filtering on low-quality reads (discard) and germline only calls,?,Manual checks during curation (PathOS),?
desc_4,"This pipeline is used for both clinical and research projects. Workflow is executed using queue workflow engine. A tracking database stores sample history and provides run/trend analysis. Individuals may be sequenced across several lanes, with a limit of 3 samples processed in a pipeline batch.","In-house scripts and coded AGTC v 1.0. Executed on Broad's Queue workflow engine. In-house scripts coded in variety of languages (python, scala...)","Sample mix-up, contamination checks - in-house script","bcl2fastq version, adaptor removal part of bwa",bwa,"GATK Baserecalibrator, GATK Indel realigner, in-house scripts for coverage, snpSift for Ti/Tv","GATK HaplotypeCaller version 3.5, GATK UnifiedGenotyper version 2.8",In-house tool incorporating VEP version X and ANNOVAR,Filters on annotated terms,"GATK VariantRecalibrator, GATK applyRecalibration",Scheduled performance tests,HGSV format following NPAAC guidelines
desc_5,"Perl-based workflow manager, which manages job queues and logs/tracks sample information. A mysql database stores this information. The pipeline itself is largely composed of perl-based scripts with XML configurations. All variants are uploaded to an in-house database. Prior to variant annotation, variants are compared against the in-house database. Only variants novel to the database are annotated which improves the efficiency of the annotation stages. In-house scripts remove variants discovered which are outside of exon boundaries and splice-sites.",perl-based pipeline manager. Pipeline largely composed of XML and perl scripts,Adaptor checks performed by sequencing provider,Checks of exon read depth,bwa-mem version 0.6.1-r104,"Novosort - markduplicates, samtools version 0.1.18, GATK indel realignment, GATK BQSR","SNV & Indels: GATK HaplotypeCaller; SV: Lumpy version 0.2.13, delly version 0.7.3","Vep version 137, 138, 142; plugin: CADD","in-house scripts: exon & splice sites, flags for dbsnp (MAF) and exac frequencies annotated to vcf",GATK VQSR version,?,"SNVs, indels and SV reported as separate tables"
desc_6,"Bioinformatics pipeline is composed of two stages - bam processing and variant calling are part of a NextGENe workflow, with default settings mostly maintained. The variant annotation is performed in Alamut. The pipeline is rarely re-configured.",Metadata and files managed manually by batch,?,"bcl2fastq2, additional adaptor trimming as part of NextGENe workflow, FastQC",NextGENe,NextGENe,NextGENe,"Alamut Batch, Alamut Visual",NextGENe & Alamut,?,"Sanger sequencing, sex checks, manual checks with Alamut visual",?
desc_7,Most the pipeline in executed on the cloud via Illumina Basespace. Most features parallelised by chromosome. Each panel has preset configurations (determined by the manufacturer) which would rarely be modified by the bioinformatician. Basespace has various in-built internal checks.,Illumina BaseSpace,?,part of basespace workflow,"bwa 0.7.7, samtools version 0.1.19-isis-1.0.1",Picard CollectMetrics version 1.79,GATK UnifiedGenotyper version 1.6.23-gf0210b3,"Illumina Annotation Service, version 3.0 Cartagenia version",?,?,Genome in a bottle reference standards. Every run with a quality control sample with expected values control sets.,ACMG guidelines followed. Refseq genes reported. HGSV nomenclature. Manual verification with Alamut visualise.
desc_8,"A series of in-house scripts execute the workflow. Sequencing the medical exome is commonly used as an alternative to other diagnostic capture panels (e.g. cancer, truesight) with the advantage that multiple 'panels' can be examined and sequenced in a single registry-v1. Exchange of panel-based tests for sequencing of the medical exome has not been fully implemented due to differences in cost.",XML-based workflow management + in-house scripts,"in-house scripts, Illumina Sequence Analysis Viewer, demultiplexing: bcl2fastq v2.17","adaptor removal/trimming: cutadapt v1.8.1, FastQC v0.11.5",bwa-kit v0.7.12-r1039 - samblaster v0.1.20 - local realignment with GATK suite v2014.4-2 (RealignerTargetCreator + IndelRealign + Base Recalibrator),samtools mpileup v1.0 - Picard CollectInsertSizeMetrics - CalculateHsMetrics v1.114,"SNV + indel - GATK suite v2014.4-2 HaplotypeCaller, GATK GenotypeGVCFs","VariantStudio, in-house pipeline","QUAL, population frequency, gene of interest list, impact (snpEff)",manual inspection in IGV,"gender check (in-house script to check ratios of number of reads mapping to chrX/Y, and ratio of heterozygote/homozygote calls on chrX). Sanger confirmation of pathogenic variants",Run and sample QC reports are evaluated prior to reporting
desc_9,Used for germline samples - supporting individual and trio design configurations. Workflow largely follows GATK Best practices.,XMl-based wokflow management + in-house scripts,"in-house scripts, Illumina Sequence Analysis Viewer, demultiplexing: bcl2fastq v2.17","adaptor removal/trimming: cutadapt v1.8.1, FastQC v0.11.5",bwa-kit v0.7.12-r1039 - samblaster v0.1.20 - local realignment with GATK suite v2014.4-2 (RealignerTargetCreator + IndelRealign + Base Recalibrator),samtools mpileup v1.0 - Picard CollectInsertSizeMetrics - CalculateHsMetrics v1.114,"SNV + indel - GATK suite v2014.4-2 HaplotypeCaller, GATK GenotypeGVCFs","VariantStudio, in-house pipeline","VariantStudio, in-house pipeline","manual inspection in IGV, GATK VariantRecalibrator + ApplyRecalibration","gender check (in-house script to check ratios of number of reads mapping to chrX/Y, and ratio of heterozygote/homozygote calls on chrX). Sanger confirmation of pathogenic variants",Run and sample QC reports are evaluated prior to reporting
desc_10,"Highly-integrated, python-based workflow manager that handles all inputs/outputs (from raw input to variant output including fastq, pedigree files to reporting). Workflow manager communicates with the HPC. Pipeline bifurcates at the variant calling stage (RTG vs GATK arms).",In-house python-based manager,qsignature,"fastQC v, cutadapt v",bwa mem,"Picard MarkDuplicates, GATK baserecalibrator","SNV, & indels: GATK HaplotypeCaller and RTG; mitochondrial as separate branch",snpeff & snpsifT,Family-based models for variant filtering post-annotation (RTG),Variant recalibration as part of RTG workflow,sample mix-ups: qsignature; pedigree check: peddy,?
